,Unnamed: 0,linkID,boro,lat,long,status,activationDate,installationDate,streetPlacement,wifi
82,438,LINK-012317,Manhattan,40.720486,-73.989083,Live,12/28/2016,11/17/2016,corner,81
83,439,LINK-011971,Manhattan,40.818897,-73.944659,Live,10/21/2016,10/08/2016,corner,47
84,440,LINK-013212,Brooklyn,40.673527,-73.950078,Live,03/08/2017,02/17/2017,corner,95
85,441,LINK-012462,Manhattan,40.761118,-73.975684,Live,01/08/2018,02/11/2017,corner,68
86,442,LINK-013990,Manhattan,40.744114,-73.995892,Live,01/03/2018,10/07/2017,corner,141
87,443,LINK-001017,Brooklyn,40.691234,-73.986384,Live,04/20/2017,02/17/2017,corner,39
88,444,LINK-011760,Queens,40.695603,-73.839607,Live,07/07/2017,05/20/2017,corner,23
0,445,LINK-000540,Manhattan,40.762151,-73.986052,Live,04/06/2016,03/06/2016,corner,161
1,446,LINK-010896,Manhattan,40.72765,-73.985119,Live,05/30/2017,04/08/2017,corner,108
2,447,LINK-013710,Manhattan,40.747966,-73.973405,Live,04/05/2018,11/11/2017,corner,71
3,448,LINK-012278,Manhattan,40.747055,-73.981061,Live,05/17/2018,03/03/2018,corner,173
4,449,LINK-011291,Manhattan,40.853122,-73.930818,Live,02/06/2018,12/01/2017,corner,67
5,450,LINK-000919,Manhattan,40.769566,-73.981841,Live,09/30/2016,04/30/2016,corner,89
6,451,LINK-003231,Manhattan,40.728756,-73.987914,Live,02/09/2018,09/16/2017,corner,128
7,452,LINK-000331,Manhattan,40.753899,-73.972326,Live,02/22/2016,02/07/2016,corner,160
8,453,LINK-012042,Manhattan,40.851831,-73.931773,Live,06/28/2018,04/19/2018,corner,39
9,454,LINK-012714,Manhattan,40.738384,-73.980396,Live,01/03/2018,09/28/2017,corner,73
10,455,LINK-013974,Manhattan,40.740836,-73.988136,Live,08/07/2017,03/11/2017,block,61
11,456,LINK-000896,Manhattan,40.789608,-73.946262,Live,03/28/2016,03/19/2016,corner,27
12,457,LINK-000214,Manhattan,40.73804,-73.992377,Live,02/20/2018,02/11/2017,corner,146
13,458,LINK-001612,Manhattan,40.805472,-73.965526,Live,06/29/2016,06/11/2016,corner,23
14,459,LINK-014205,Manhattan,40.769506,-73.954609,Live,02/08/2019,05/31/2018,block,136
15,460,LINK-020757,Brooklyn,40.734684,-73.955096,Live,08/23/2017,06/30/2017,corner,1
16,461,LINK-003229,Manhattan,40.730249,-73.986348,Live,09/13/2016,07/10/2016,corner,99
17,462,LINK-000836,Manhattan,40.767655,-73.961971,Live,03/29/2016,02/27/2016,corner,100
18,463,LINK-000076,Bronx,40.859154,-73.898553,Live,07/15/2016,05/12/2016,corner,17
19,464,LINK-020563,Bronx,40.810255,-73.921923,Live,06/11/2018,05/02/2018,corner,28
20,465,LINK-014335,Bronx,40.846646,-73.901392,Live,08/01/2017,06/24/2017,block,3
21,466,LINK-000972,Manhattan,40.784128,-73.979996,Live,01/03/2018,10/11/2017,corner,57
22,467,LINK-000865,Manhattan,40.776833,-73.955586,Live,03/30/2016,02/15/2016,corner,79
23,468,LINK-003352,Manhattan,40.762366,-73.982552,Live,11/10/2016,10/15/2016,corner,132
24,469,LINK-021525,Brooklyn,40.657704,-74.000689,Live,08/22/2017,07/15/2017,corner,9
25,470,LINK-002065,Manhattan,40.829037,-73.948869,Live,07/21/2016,07/15/2016,corner,6
26,471,LINK-000199,Manhattan,40.738997,-74.000946,Live,10/25/2016,09/18/2016,corner,76
27,472,LINK-000879,Manhattan,40.778792,-73.953663,Live,05/05/2016,04/23/2016,corner,36
28,473,LINK-001032,Brooklyn,40.690588,-73.984481,Live,03/07/2017,02/13/2017,corner,25
29,474,LINK-013686,Manhattan,40.770459,-73.966224,Live,04/06/2018,02/03/2018,corner,37
30,475,LINK-001125,Queens,40.719293,-73.839741,Live,07/29/2016,07/20/2016,corner,35
31,476,LINK-010843,Manhattan,40.732308,-74.006415,Live,01/18/2017,11/05/2016,corner,27
32,477,LINK-000198,Manhattan,40.738074,-73.998319,Live,11/11/2016,10/16/2016,corner,141
33,478,LINK-012424,Manhattan,40.726304,-73.986104,Live,05/30/2017,04/08/2017,corner,92
34,479,LINK-000496,Manhattan,40.749122,-73.995553,Live,04/07/2016,03/18/2016,corner,158
35,480,LINK-010646,Manhattan,40.750746,-74.005816,Live,06/27/2017,05/26/2017,corner,33
36,481,LINK-018198,Queens,40.747075,-73.942792,Live,04/14/2017,03/11/2017,corner,20
37,482,LINK-018143,Queens,40.736982,-73.880315,Live,03/20/2017,03/04/2017,corner,0
38,483,LINK-014623,Manhattan,40.7451,-73.978821,Live,01/17/2019,05/19/2018,corner,267
39,484,LINK-002670,Brooklyn,40.680732,-73.977446,Live,06/23/2017,04/28/2017,corner,92
40,485,LINK-002456,Brooklyn,40.669652,-73.958261,Live,12/09/2016,11/11/2016,corner,46
41,486,LINK-018137,Queens,40.733579,-73.871648,Live,04/14/2017,03/04/2017,corner,5
42,487,LINK-000601,Manhattan,40.740092,-73.983925,Live,05/05/2017,03/19/2017,corner,119
43,488,LINK-005218,Manhattan,40.823122,-73.949014,Live,08/16/2017,06/17/2017,corner,32
44,489,LINK-014420,Manhattan,40.73797,-73.988584,Live,02/07/2018,11/18/2017,block,60
45,490,LINK-000904,Manhattan,40.794273,-73.942859,Live,03/22/2016,03/05/2016,corner,91
46,491,LINK-011704,Brooklyn,40.642875,-73.957574,Live,02/14/2018,11/10/2017,corner,93
47,492,LINK-000469,Manhattan,40.747905,-73.996434,Live,07/07/2016,06/04/2016,corner,118
48,493,LINK-013542,Queens,40.692451,-73.860858,Live,07/13/2017,06/24/2017,corner,0
49,494,LINK-018140,Queens,40.734162,-73.873658,Live,04/10/2017,03/04/2017,corner,10
50,495,LINK-012722,Manhattan,40.732519,-73.984694,Live,05/24/2018,02/24/2018,corner,92
51,496,LINK-013167,Manhattan,40.801001,-73.961448,Live,02/28/2018,12/12/2017,corner,28
52,497,LINK-021228,Brooklyn,40.715732,-73.964243,Live,02/01/2018,11/17/2017,corner,10
53,498,LINK-021330,Queens,40.765402,-73.91836,Live,10/25/2017,09/16/2017,corner,71
54,499,LINK-008214,Manhattan,40.742125,-74.004363,Installed,,05/19/2018,corner,154
55,500,LINK-012192,Manhattan,40.717726,-74.00561,Live,05/24/2018,04/19/2018,corner,45
56,501,LINK-011182,Manhattan,40.822854,-73.953291,Live,04/20/2018,03/03/2018,corner,18
57,502,LINK-021289,Brooklyn,40.710988,-73.968534,Live,03/08/2019,06/05/2018,corner,17
58,503,LINK-001152,Queens,40.742912,-73.91854,Live,02/02/2017,11/05/2016,corner,34
59,504,LINK-000162,Manhattan,40.760413,-73.984541,Live,07/18/2016,05/14/2016,corner,102
60,505,LINK-012850,Manhattan,40.724614,-73.987336,Live,02/07/2018,10/07/2017,corner,97
61,506,LINK-012645,Manhattan,40.768262,-73.989043,Live,01/05/2018,09/23/2017,corner,42
62,507,LINK-003917,Manhattan,40.803579,-73.966917,Live,06/29/2016,06/17/2016,corner,48
